state,population_2025_millions,median_household_income,population_growth_5yr_pct,unemployment_rate_pct,urbanization_pct,competitor_store_count,avg_competitor_rating,avg_competitor_price_index,avg_commercial_rent_per_sqft,avg_buildout_cost
Alabama,28.35,88757,2.85,4.99,70.4,107.0,4.64,0.98,23.26,354088
Arizona,4.08,74531,5.77,6.23,50.2,32.0,3.53,0.93,12.55,313121
Arkansas,8.37,85065,2.82,5.94,86.4,66.0,3.26,1.14,33.78,362479
Colorado,29.52,71939,8.72,5.95,87.1,66.0,4.61,1.19,33.29,292893
Florida,2.83,88994,8.45,5.43,57.0,61.0,3.21,0.87,13.35,327443
Georgia,29.25,62541,3.25,5.72,46.9,10.0,3.97,0.95,31.5,388443
Idaho,1.96,53675,4.5,4.22,73.1,5.0,3.65,1.04,40.95,353714
Indiana,14.34,91573,6.89,5.27,51.5,96.0,3.75,0.93,42.91,372506
Kansas,8.08,48161,4.13,6.4,77.7,31.0,3.63,0.88,20.51,195151
Kentucky,17.55,57692,1.15,3.82,54.5,66.0,3.58,1.07,15.74,187400
Missouri,1.88,61417,2.59,5.26,73.4,93.0,4.66,1.1,16.54,383766
Nevada,26.01,49021,6.63,3.15,71.5,66.0,3.98,1.09,34.8,297796
New Mexico,20.97,74557,-0.82,5.47,74.3,81.0,4.11,0.96,38.97,246690
North Carolina,8.13,83920,6.42,5.04,78.4,32.0,3.75,1.17,34.36,291472
Ohio,12.4,51943,9.98,6.19,54.5,48.0,3.71,1.02,19.47,283727
Oklahoma,12.48,54873,-0.8,4.88,89.3,101.0,3.95,1.07,42.51,297858
South Carolina,14.8,67457,6.02,4.46,67.3,34.0,3.68,0.93,17.75,200932
Tennessee,19.12,49585,11.5,5.21,65.6,112.0,3.38,0.9,28.9,342688
Texas,12.9,65159,11.05,3.54,56.1,66.0,4.49,1.03,18.16,287512
Utah,20.89,59653,11.55,4.17,77.7,79.0,4.25,1.12,24.76,209855
