state,competitor_store_count,avg_competitor_rating,avg_competitor_price_index
Texas,66,4.49,1.03
Florida,61,3.21,0.87
Georgia,10,3.97,0.95
North Carolina,32,,1.17
Arizona,32,3.53,0.93
Tennessee,112,3.38,0.9
Ohio,48,3.71,1.02
Colorado,-1,4.61,1.19
South Carolina,34,3.68,0.93
Nevada,66,3.98,1.09
Utah,79,4.25,1.12
Indiana,96,3.75,0.93
Missouri,93,4.66,1.1
Alabama,107,4.64,0.98
Kentucky,66,3.58,1.07
Oklahoma,101,3.95,1.07
Idaho,5,3.65,1.04
Kansas,31,3.63,0.88
Arkansas,66,3.26,1.14
New Mexico,81,4.11,0.96
