state,population_2025_millions,median_household_income,population_growth_5yr_pct,unemployment_rate_pct,urbanization_pct
Texas,12.9,65159,11.05,3.54,56.1
Florida,2.83,88994,8.45,5.43,57.0
Georgia,29.25,62541,3.25,5.72,46.9
North Carolina,8.13,83920,6.42,5.04,78.4
Arizona,4.08,74531,5.77,6.23,50.2
Tennessee,19.12,49585,11.5,5.21,65.6
Ohio,12.4,51943,9.98,6.19,54.5
Colorado,29.52,71939,8.72,5.95,87.1
South Carolina,14.8,67457,6.02,4.46,67.3
Nevada,26.01,49021,6.63,3.15,71.5
Utah,20.89,59653,11.55,4.17,77.7
Indiana,14.34,91573,6.89,5.27,51.5
Missouri,1.88,61417,2.59,5.26,73.4
Alabama,28.35,88757,2.85,4.99,70.4
Kentucky,17.55,57692,1.15,3.82,54.5
Oklahoma,12.48,54873,-0.8,4.88,89.3
Idaho,1.96,53675,4.5,4.22,73.1
Kansas,8.08,48161,4.13,6.4,77.7
Arkansas,8.37,85065,2.82,5.94,86.4
New Mexico,20.97,74557,-0.82,5.47,74.3
