rank,state,opportunity_score,predicted_revenue_per_store,est_annual_profit_per_store,est_payback_years,population_2025_millions,population_growth_5yr_pct,median_household_income,competitor_store_count,avg_commercial_rent_per_sqft,avg_buildout_cost
1,Utah,63.6,1100195.0,154027.0,1.36,20.89,11.55,59653,79.0,24.76,209855
2,South Carolina,61.5,1321430.0,185000.0,1.09,14.8,6.02,67457,34.0,17.75,200932
3,Colorado,60.1,911165.0,127563.0,2.3,29.52,8.72,71939,66.0,33.29,292893
4,Texas,58.3,1284971.0,179896.0,1.6,12.9,11.05,65159,66.0,18.16,287512
5,Nevada,54.4,1036361.0,145091.0,2.05,26.01,6.63,49021,66.0,34.8,297796
6,North Carolina,54.2,1361295.0,190581.0,1.53,8.13,6.42,83920,32.0,34.36,291472
7,Georgia,52.5,1088027.0,152324.0,2.55,29.25,3.25,62541,10.0,31.5,388443
8,Kentucky,49.4,1213135.0,169839.0,1.1,17.55,1.15,57692,66.0,15.74,187400
9,Florida,47.8,1427654.0,199872.0,1.64,2.83,8.45,88994,61.0,13.35,327443
10,Alabama,47.3,796019.0,111443.0,3.18,28.35,2.85,88757,107.0,23.26,354088
11,Ohio,47.1,1374838.0,192477.0,1.47,12.4,9.98,51943,48.0,19.47,283727
12,Arizona,43.4,1520664.0,212893.0,1.47,4.08,5.77,74531,32.0,12.55,313121
13,Indiana,43.3,1033039.0,144625.0,2.58,14.34,6.89,91573,96.0,42.91,372506
14,Kansas,41.8,1501239.0,210173.0,0.93,8.08,4.13,48161,31.0,20.51,195151
15,New Mexico,40.9,997671.0,139674.0,1.77,20.97,-0.82,74557,81.0,38.97,246690
16,Tennessee,39.9,1064851.0,149079.0,2.3,19.12,11.5,49585,112.0,28.9,342688
17,Idaho,39.0,1615199.0,226128.0,1.56,1.96,4.5,53675,5.0,40.95,353714
18,Arkansas,35.0,1261264.0,176577.0,2.05,8.37,2.82,85065,66.0,33.78,362479
19,Oklahoma,22.3,1151797.0,161252.0,1.85,12.48,-0.8,54873,101.0,42.51,297858
20,Missouri,18.5,1425126.0,199518.0,1.92,1.88,2.59,61417,93.0,16.54,383766
